location_id,city,governorate,postal_code,country
1,Nabeul,Nabeul,8000,Tunisia
2,La Marsa,Tunis,2070,Tunisia
3,Sousse,Sousse,4000,Tunisia
4,Mahdia,Mahdia,5100,Tunisia
5,Kairouan,Kairouan,3100,Tunisia
6,Djerba,Médenine,4180,Tunisia
7,Hammamet,Nabeul,8050,Tunisia
8,Monastir,Monastir,5000,Tunisia
9,Tunis,Tunis,1000,Tunisia
10,Bizerte,Bizerte,7000,Tunisia
11,Sfax,Sfax,3000,Tunisia
12,Gabès,Gabès,6000,Tunisia
13,Carthage,Tunis,2016,Tunisia
14,Ariana,Ariana,2080,Tunisia
15,Ben Arous,Ben Arous,2013,Tunisia
